Timestamp,Roll,Pitch,Yaw,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Throttle
17:13:41.142,-1.66,-1.71,10.36,-0.12,-1.4,3.78,0.05,-0.04,1.02,1000
17:13:41.151,-1.73,-1.93,10.41,0.85,-1.1,4.39,0.06,-0.04,1.04,1000
17:13:41.162,-1.78,-2.17,10.46,1.65,-0.3,3.41,0.05,-0.04,1.03,1000
17:13:41.175,-1.83,-2.28,10.48,1.95,0.43,1.22,0.04,-0.05,1.04,1000
17:13:41.184,-1.87,-2.29,10.48,2.07,0.73,-1.1,0.03,-0.03,1.03,1000
17:13:41.196,-1.87,-2.21,10.46,1.04,0.49,-2.56,0.03,-0.04,1.03,1000
17:13:41.206,-1.93,-2.15,10.43,-0.3,0.0,-2.62,0.05,-0.03,1.02,1000
17:13:41.221,-1.9,-2.19,10.41,-1.89,-0.91,-0.85,0.04,-0.02,1.03,1000
17:13:41.229,-1.85,-2.23,10.41,-3.84,-2.5,0.3,0.04,-0.05,1.02,1000
17:13:41.240,-1.91,-2.31,10.42,-4.39,-3.41,2.26,0.06,-0.02,1.03,1000
17:13:41.250,-1.87,-2.48,10.45,-4.51,-3.48,3.54,0.05,-0.03,1.03,1000
17:13:41.272,-1.86,-2.57,10.49,-4.02,-2.74,3.17,0.04,-0.04,1.04,1000
17:13:41.275,-1.89,-2.58,10.52,-2.93,-1.59,1.77,0.04,-0.04,1.03,1000
17:13:41.284,-1.94,-2.55,10.53,-2.32,-0.43,1.1,0.04,-0.04,1.04,1000
17:13:41.296,-2.03,-2.54,10.55,-0.98,0.12,1.59,0.06,-0.05,1.03,1000
17:13:41.305,-2.13,-2.64,10.56,0.0,0.3,2.56,0.06,-0.03,1.05,1000
17:13:41.321,-2.11,-2.77,10.6,1.59,0.3,2.74,0.06,-0.05,1.04,1000
17:13:41.327,-2.18,-2.88,10.63,3.84,0.55,2.5,0.07,-0.05,1.06,1000
17:13:41.342,-2.2,-3.0,10.65,5.61,0.67,0.79,0.05,-0.02,1.05,1000
17:13:41.349,-2.07,-2.99,10.64,6.89,0.85,-2.2,0.03,-0.05,1.05,1000
17:13:41.402,-2.05,-2.86,10.6,6.89,0.67,-5.06,0.03,-0.05,1.02,1000
17:13:41.402,-2.09,-2.72,10.54,6.95,0.37,-5.79,0.07,-0.05,1.03,1000
17:13:41.402,-2.21,-2.83,10.48,8.05,0.0,-3.11,0.11,-0.07,1.04,1000
17:13:41.402,-2.25,-3.22,10.46,8.6,-0.55,-1.83,0.1,-0.01,1.08,1000
17:13:41.405,-2.08,-3.47,10.43,9.57,-1.28,-3.41,0.07,-0.03,1.07,1000
17:13:41.428,-1.85,-3.58,10.37,11.95,-1.77,-7.56,0.04,-0.03,1.07,1000
17:13:41.428,-1.65,-3.43,10.27,14.27,-2.13,-12.38,0.02,-0.02,1.03,1000
17:13:41.437,-1.47,-3.11,10.12,14.82,-2.2,-16.4,0.01,-0.02,1.02,1000
17:13:41.448,-1.26,-2.66,9.91,12.93,-1.71,-16.83,0.03,-0.02,0.98,1000
17:13:41.459,-1.08,-2.54,9.75,8.48,-1.04,-12.74,0.07,0.0,1.01,1000
17:13:41.470,-0.74,-2.71,9.63,4.82,0.12,-7.44,0.07,0.01,0.99,1000
17:13:41.481,-0.46,-2.92,9.58,1.83,1.77,-2.62,0.06,0.0,1.02,1000
17:13:41.492,-0.22,-3.0,9.56,0.0,2.8,-0.18,0.04,0.01,1.01,1000
17:13:41.507,-0.1,-2.92,9.56,-0.06,3.66,-0.12,0.03,-0.01,1.03,1000
17:13:41.515,-0.07,-2.69,9.55,0.73,4.82,-2.07,0.01,-0.0,1.01,1000
17:13:41.527,-0.07,-2.29,9.52,2.32,5.18,-3.84,0.01,-0.01,1.01,1000
