Timestamp,Roll,Pitch,Yaw,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Throttle
17:16:13.022,-7.83,-4.07,-103.12,2.38,-1.34,-6.95,0.09,-0.16,1.02,1000
17:16:13.032,-8.03,-4.21,-103.2,3.17,-1.22,-7.2,0.1,-0.16,1.02,1000
17:16:13.043,-8.2,-4.45,-103.28,3.72,-0.85,-6.46,0.1,-0.15,1.02,1000
17:16:13.056,-8.23,-4.67,-103.34,3.84,-0.3,-5.06,0.11,-0.15,1.02,1000
17:16:13.065,-8.19,-4.89,-103.39,3.84,0.3,-3.17,0.11,-0.14,1.02,1000
17:16:13.077,-8.09,-5.07,-103.41,3.96,0.43,-0.49,0.1,-0.13,1.01,1000
17:16:13.087,-7.93,-5.18,-103.4,3.6,0.49,2.26,0.09,-0.13,1.01,1000
17:16:13.098,-7.78,-5.17,-103.37,3.23,0.12,4.7,0.08,-0.13,1.01,1000
17:16:13.109,-7.61,-5.04,-103.3,2.74,-1.16,6.71,0.07,-0.12,1.01,1000
17:16:13.121,-7.43,-4.8,-103.22,2.07,-2.26,7.44,0.06,-0.12,1.02,1000
17:16:13.134,-7.31,-4.58,-103.15,1.4,-3.05,7.2,0.06,-0.13,1.03,1000
17:16:13.142,-7.23,-4.39,-103.07,0.24,-3.17,5.43,0.07,-0.13,1.04,1000
17:16:13.153,-7.22,-4.3,-103.03,-0.73,-2.38,3.05,0.08,-0.14,1.05,1000
17:16:13.164,-7.28,-4.28,-103.01,-1.65,-1.04,-0.12,0.09,-0.15,1.05,1000
17:16:13.178,-7.36,-4.34,-103.02,-1.46,0.12,-2.56,0.1,-0.15,1.05,1000
17:16:13.186,-7.44,-4.46,-103.06,-1.46,1.71,-4.45,0.1,-0.14,1.04,1000
17:16:13.197,-7.49,-4.62,-103.11,-0.24,2.74,-4.63,0.1,-0.14,1.03,1000
17:16:13.209,-7.46,-4.74,-103.16,1.16,2.8,-4.15,0.09,-0.13,1.03,1000
17:16:13.220,-7.37,-4.79,-103.2,2.68,3.29,-2.56,0.09,-0.12,1.01,1000
17:16:13.230,-7.28,-4.78,-103.22,4.09,3.54,-1.16,0.08,-0.12,1.01,1000
17:16:13.243,-7.2,-4.73,-103.23,4.82,3.23,0.49,0.07,-0.13,1.0,1000
17:16:13.253,-7.15,-4.64,-103.22,5.06,2.44,1.28,0.08,-0.13,1.0,1000
17:16:13.266,-7.15,-4.56,-103.2,4.51,1.89,1.16,0.08,-0.13,1.0,1000
17:16:13.286,-7.17,-4.5,-103.19,3.54,1.16,0.37,0.08,-0.14,1.0,1000
17:16:13.287,-7.24,-4.49,-103.2,2.01,0.49,-1.16,0.08,-0.13,1.0,1000
17:16:13.297,-7.32,-4.48,-103.21,0.91,0.18,-2.13,0.07,-0.14,1.0,1000
17:16:13.307,-7.44,-4.43,-103.24,-0.3,-0.24,-3.05,0.07,-0.15,1.0,1000
17:16:13.318,-7.59,-4.33,-103.27,-0.91,-0.55,-3.23,0.07,-0.14,1.0,1000
17:16:13.329,-7.7,-4.24,-103.31,-1.34,-1.4,-3.11,0.07,-0.14,1.01,1000
17:16:13.340,-7.76,-4.21,-103.34,-1.4,-2.07,-2.38,0.08,-0.13,1.01,1000
17:16:13.352,-7.73,-4.28,-103.36,-1.65,-3.11,-1.4,0.09,-0.13,1.02,1000
17:16:13.362,-7.68,-4.4,-103.37,-1.52,-4.02,-0.18,0.1,-0.13,1.03,1000
17:16:13.384,-7.61,-4.6,-103.37,-1.52,-4.51,0.55,0.1,-0.13,1.04,1000
17:16:13.385,-7.55,-4.84,-103.36,-0.85,-4.02,1.16,0.11,-0.14,1.04,1000
17:16:13.395,-7.54,-5.05,-103.35,-0.18,-2.62,1.46,0.11,-0.14,1.05,1000
17:16:13.406,-7.53,-5.21,-103.33,0.79,0.18,1.89,0.1,-0.14,1.04,1000
17:16:13.417,-7.52,-5.29,-103.31,1.95,2.32,2.62,0.1,-0.13,1.04,1000
17:16:13.430,-7.46,-5.29,-103.27,3.11,3.6,3.66,0.09,-0.13,1.03,1000
17:16:13.441,-7.37,-5.21,-103.23,4.02,3.72,4.33,0.08,-0.13,1.02,1000
17:16:13.450,-7.28,-5.03,-103.18,4.7,2.87,5.06,0.06,-0.13,1.02,1000
17:16:13.463,-7.2,-4.75,-103.12,5.18,1.83,5.24,0.05,-0.12,1.01,1000
17:16:13.473,-7.12,-4.39,-103.06,5.24,1.28,4.82,0.05,-0.12,1.01,1000
17:16:13.483,-7.03,-4.03,-103.01,4.82,1.16,4.21,0.04,-0.12,1.02,1000
17:16:13.494,-6.91,-3.73,-102.97,3.84,1.22,2.8,0.05,-0.12,1.02,1000
17:16:13.505,-6.77,-3.48,-102.95,2.74,1.34,0.91,0.06,-0.11,1.03,1000
17:16:13.516,-6.67,-3.38,-102.95,1.46,1.22,-0.85,0.07,-0.12,1.03,1000
17:16:13.527,-6.61,-3.41,-102.97,0.79,1.59,-2.93,0.08,-0.12,1.03,1000
17:16:13.538,-6.6,-3.52,-103.01,0.43,2.13,-4.39,0.08,-0.12,1.02,1000
17:16:13.550,-6.66,-3.68,-103.06,0.06,2.87,-5.18,0.09,-0.13,1.01,1000
17:16:13.560,-6.78,-3.89,-103.12,0.12,3.05,-5.49,0.09,-0.13,1.0,1000
17:16:13.572,-6.96,-4.07,-103.18,0.43,2.32,-5.0,0.08,-0.14,1.0,1000
17:16:13.592,-7.11,-4.18,-103.23,0.37,0.85,-4.02,0.09,-0.15,1.0,1000
17:16:13.593,-7.32,-4.3,-103.27,0.55,-0.98,-2.8,0.09,-0.15,1.01,1000
17:16:13.604,-7.53,-4.45,-103.29,0.43,-2.13,-1.4,0.09,-0.15,1.02,1000
17:16:13.615,-7.67,-4.6,-103.3,0.18,-1.89,0.37,0.09,-0.14,1.02,1000
17:16:13.628,-7.75,-4.72,-103.29,-0.06,-0.73,1.71,0.09,-0.14,1.03,1000
17:16:13.637,-7.78,-4.81,-103.26,-0.24,0.79,3.23,0.09,-0.14,1.04,1000
17:16:13.648,-7.74,-4.84,-103.22,-0.91,2.56,4.45,0.09,-0.13,1.03,1000
17:16:13.659,-7.65,-4.81,-103.17,-1.4,4.09,5.49,0.08,-0.13,1.03,1000
17:16:13.670,-7.52,-4.73,-103.1,-2.26,4.51,6.52,0.08,-0.12,1.03,1000
