Timestamp,Roll,Pitch,Yaw,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Throttle
20:27:28.058,9.01,-3.06,-81.7,-2.99,-6.95,-11.1,-0.01,0.14,0.96,1000
20:27:28.071,8.96,-3.07,-81.81,-7.01,-1.46,-6.77,0.03,0.12,0.93,1000
20:27:28.080,8.87,-3.04,-81.87,-8.66,1.95,-2.99,0.02,0.13,0.93,1000
20:27:28.091,8.77,-2.99,-81.9,-8.96,2.26,-1.83,-0.02,0.17,0.91,1000
20:27:28.102,8.67,-2.94,-81.92,-10.12,0.49,-4.33,-0.04,0.23,0.94,1000
20:27:28.113,8.59,-2.9,-81.99,-10.67,-0.3,-8.84,-0.03,0.23,0.95,1000
20:27:28.124,8.49,-2.85,-82.11,-9.45,2.62,-12.26,-0.0,0.14,1.01,1000
20:27:28.135,8.41,-2.77,-82.25,-6.65,6.34,-13.35,-0.04,0.12,0.98,1000
20:27:28.151,8.35,-2.66,-82.41,-5.0,6.59,-15.98,-0.06,0.16,1.0,1000
20:27:28.169,8.31,-2.54,-82.6,-3.9,6.4,-20.18,-0.04,0.17,1.01,1000
20:27:28.170,8.28,-2.42,-82.84,-2.38,7.44,-24.94,-0.03,0.18,1.02,1000
20:27:28.178,8.27,-2.31,-83.11,-0.91,9.76,-30.12,-0.04,0.18,1.02,1000
20:27:28.192,8.29,-2.15,-83.47,0.37,10.06,-36.04,-0.11,0.24,1.01,1000
20:27:28.200,8.32,-1.98,-83.89,0.49,9.94,-42.38,-0.08,0.26,1.05,1000
20:27:28.211,8.37,-1.81,-84.38,0.12,11.95,-46.89,-0.07,0.21,1.07,1000
20:27:28.224,8.4,-1.63,-84.85,-0.12,14.45,-47.8,-0.07,0.19,1.06,1000
20:27:28.233,8.42,-1.41,-85.38,0.43,15.18,-46.65,-0.05,0.17,1.05,1000
20:27:28.245,8.45,-1.2,-85.88,2.07,14.76,-43.96,-0.07,0.16,1.05,1000
20:27:28.260,8.5,-1.0,-86.35,4.76,12.87,-40.37,-0.11,0.16,1.03,1000
20:27:28.267,8.57,-0.82,-86.78,7.87,9.88,-38.17,-0.12,0.21,1.06,1000
20:27:28.278,8.69,-0.67,-87.2,11.04,7.13,-36.77,-0.11,0.23,1.07,1000
20:27:28.288,8.84,-0.54,-87.59,13.78,5.61,-34.27,-0.11,0.21,1.09,1000
20:27:28.299,9.02,-0.43,-87.95,14.88,4.63,-30.12,-0.09,0.21,1.06,1000
20:27:28.310,9.2,-0.33,-88.26,13.48,3.48,-25.67,-0.1,0.22,1.06,1000
20:27:28.322,9.34,-0.24,-88.52,8.41,3.72,-20.67,-0.08,0.19,1.07,1000
20:27:28.333,9.42,-0.14,-88.72,1.89,5.12,-14.94,-0.08,0.18,1.07,1000
20:27:28.344,9.41,-0.03,-88.86,-6.28,6.46,-9.76,-0.13,0.2,1.06,1000
20:27:28.363,9.32,0.1,-88.96,-14.94,6.46,-6.77,-0.13,0.22,1.07,1000
20:27:28.366,9.14,0.22,-89.02,-21.89,5.3,-4.7,-0.17,0.21,1.05,1000
20:27:28.378,8.89,0.34,-89.06,-27.01,3.78,-1.83,-0.11,0.18,1.09,1000
20:27:28.388,8.62,0.43,-89.06,-29.88,2.2,2.5,-0.08,0.13,1.08,1000
20:27:28.399,8.29,0.49,-89.01,-30.55,-1.4,7.87,-0.1,0.11,1.07,1000
20:27:28.410,7.95,0.5,-88.9,-29.57,-7.26,12.26,-0.05,0.09,1.06,1000
20:27:28.424,7.63,0.42,-88.76,-27.56,-13.78,14.63,-0.07,0.1,1.05,1000
20:27:28.432,7.32,0.28,-88.59,-25.3,-21.04,15.06,-0.13,0.1,1.03,1000
20:27:28.443,7.04,0.07,-88.43,-21.71,-28.05,13.54,-0.13,0.11,1.05,1000
20:27:28.456,6.82,-0.2,-88.3,-15.85,-32.99,9.45,-0.11,0.14,1.06,1000
20:27:28.465,6.68,-0.51,-88.22,-8.17,-34.15,5.3,-0.08,0.11,1.06,1000
20:27:28.476,6.61,-0.82,-88.17,-0.85,-32.38,2.74,-0.1,0.08,1.04,1000
20:27:28.487,6.62,-1.09,-88.15,6.16,-27.32,1.71,-0.07,0.06,1.03,1000
20:27:28.498,6.7,-1.31,-88.13,11.71,-20.37,1.65,-0.06,0.05,1.02,1000
20:27:28.508,6.82,-1.44,-88.11,15.85,-11.4,1.89,-0.08,0.06,0.99,1000
20:27:28.519,6.97,-1.47,-88.09,17.62,-1.65,0.73,-0.06,0.1,0.99,1000
20:27:28.531,7.15,-1.4,-88.09,19.57,8.23,-1.52,-0.01,0.12,0.99,1000
20:27:28.542,7.36,-1.22,-88.12,20.37,18.84,-3.66,-0.03,0.13,0.98,1000
