Timestamp,Roll,Pitch,Yaw,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Throttle
20:28:29.819,0.35,-9.53,29.16,-9.33,2.01,12.74,0.21,0.01,1.06,1000
20:28:30.007,0.28,-9.5,29.28,-6.65,6.52,8.6,0.22,-0.01,1.05,1000
20:28:30.007,0.22,-9.42,29.36,-3.48,9.82,2.99,0.22,-0.03,1.05,1000
20:28:30.007,0.2,-9.33,29.37,-0.18,10.85,-1.22,0.2,-0.01,1.03,1000
20:28:30.007,0.21,-9.22,29.34,3.29,10.12,-4.21,0.19,0.01,1.03,1000
20:28:30.007,0.26,-9.13,29.29,5.73,8.66,-4.94,0.17,0.03,1.03,1000
20:28:30.007,0.31,-9.07,29.25,7.01,6.71,-5.0,0.15,0.04,1.05,1000
20:28:30.007,0.4,-9.01,29.19,7.8,3.84,-4.45,0.16,0.04,1.04,1000
20:28:30.007,0.5,-8.98,29.15,7.8,2.38,-4.27,0.16,0.04,1.05,1000
20:28:30.007,0.59,-8.96,29.1,6.4,1.52,-4.94,0.17,0.03,1.04,1000
20:28:30.007,0.66,-8.94,29.04,4.09,2.26,-6.22,0.19,0.03,1.03,1000
20:28:30.007,0.7,-8.92,28.96,0.98,4.76,-7.74,0.17,0.04,1.04,1000
20:28:30.007,0.71,-8.85,28.87,-2.99,8.6,-9.51,0.18,0.03,1.03,1000
20:28:30.007,0.67,-8.75,28.76,-5.67,12.99,-10.79,0.18,0.02,1.03,1000
20:28:30.007,0.61,-8.6,28.63,-6.89,16.59,-11.95,0.17,0.01,1.01,1000
20:28:30.007,0.54,-8.43,28.51,-6.65,18.78,-12.87,0.17,0.01,1.0,1000
20:28:30.007,0.48,-8.23,28.37,-5.3,20.06,-11.71,0.16,0.04,1.0,1000
20:28:30.012,0.44,-8.03,28.25,-2.93,19.76,-10.0,0.13,0.03,1.0,1000
20:28:30.014,0.43,-7.82,28.15,-0.61,18.29,-8.35,0.15,0.02,1.01,1000
20:28:30.025,0.44,-7.64,28.06,1.52,16.34,-7.68,0.14,-0.01,1.0,1000
20:28:30.036,0.47,-7.47,27.97,3.41,14.76,-8.48,0.16,-0.03,1.0,1000
20:28:30.047,0.5,-7.33,27.88,4.94,12.13,-8.6,0.14,-0.01,0.98,1000
20:28:30.057,0.55,-7.22,27.78,6.1,7.93,-7.93,0.11,0.0,1.0,1000
20:28:30.069,0.62,-7.16,27.7,6.22,3.78,-5.79,0.13,0.02,0.97,1000
20:28:30.080,0.67,-7.14,27.66,5.98,0.06,-2.62,0.09,0.04,0.99,1000
20:28:30.090,0.74,-7.15,27.64,5.0,-3.72,0.49,0.1,0.04,0.99,1000
20:28:30.103,0.8,-7.2,27.66,3.35,-6.28,2.26,0.12,0.03,0.98,1000
20:28:30.114,0.83,-7.27,27.69,1.59,-7.8,2.99,0.11,0.02,1.0,1000
20:28:30.126,0.85,-7.34,27.71,-0.43,-8.48,2.56,0.12,0.01,0.98,1000
20:28:30.135,0.83,-7.43,27.74,-2.56,-8.41,1.71,0.12,0.01,0.99,1000
20:28:30.147,0.8,-7.52,27.75,-3.72,-8.29,0.55,0.12,0.01,0.99,1000
20:28:30.157,0.76,-7.6,27.76,-3.66,-8.29,0.12,0.12,0.02,0.99,1000
20:28:30.169,0.72,-7.69,27.76,-3.29,-8.66,0.06,0.11,0.02,0.99,1000
20:28:30.179,0.7,-7.78,27.76,-2.2,-9.45,0.06,0.11,0.03,1.0,1000
20:28:30.192,0.68,-7.87,27.76,-0.98,-9.15,0.61,0.12,0.05,0.98,1000
20:28:30.201,0.68,-7.95,27.77,-0.85,-7.38,1.4,0.13,0.07,1.0,1000
20:28:30.213,0.69,-8.01,27.79,-1.34,-3.54,2.2,0.14,0.07,1.0,1000
20:28:30.224,0.7,-8.03,27.81,-1.65,-0.06,1.22,0.15,0.05,1.06,1000
20:28:30.235,0.71,-8.01,27.81,-0.67,4.51,-2.56,0.18,-0.0,1.05,1000
20:28:30.246,0.72,-7.95,27.75,1.59,8.41,-7.74,0.2,-0.03,1.07,1000
20:28:30.256,0.74,-7.86,27.65,2.99,10.98,-12.01,0.18,-0.01,1.03,1000
20:28:30.267,0.77,-7.75,27.51,2.87,14.33,-13.35,0.2,0.05,1.02,1000
20:28:30.279,0.81,-7.62,27.38,2.13,15.49,-12.07,0.12,0.07,1.06,1000
20:28:30.289,0.84,-7.45,27.24,1.22,13.41,-10.37,0.12,0.05,1.06,1000
20:28:30.299,0.87,-7.32,27.13,0.73,10.73,-10.06,0.14,0.01,1.03,1000
20:28:30.513,0.88,-7.22,27.02,0.85,7.26,-10.37,0.12,-0.0,1.03,1000
20:28:30.513,0.89,-7.17,26.9,0.91,1.83,-10.0,0.12,0.0,1.02,1000
20:28:30.513,0.9,-7.17,26.82,1.28,-3.84,-8.9,0.1,0.01,1.02,1000
20:28:30.513,0.91,-7.24,26.74,1.77,-9.94,-6.65,0.1,0.01,1.01,1000
20:28:30.513,0.93,-7.38,26.67,0.98,-14.88,-3.66,0.11,0.03,1.0,1000
20:28:30.513,0.93,-7.52,26.65,-0.24,-16.59,-0.18,0.1,0.05,1.01,1000
20:28:30.513,0.93,-7.68,26.66,-1.95,-17.2,4.02,0.11,0.05,1.03,1000
20:28:30.513,0.91,-7.85,26.72,-3.05,-16.04,6.77,0.13,0.02,1.04,1000
20:28:30.513,0.88,-8.0,26.8,-3.23,-13.41,7.07,0.15,-0.01,1.05,1000
20:28:30.513,0.84,-8.12,26.87,-2.8,-9.82,6.04,0.17,-0.03,1.04,1000
20:28:30.513,0.8,-8.21,26.93,-1.46,-5.98,4.82,0.17,-0.02,1.03,1000
20:28:30.513,0.78,-8.26,26.98,0.06,-1.71,4.57,0.16,0.01,1.03,1000
20:28:30.513,0.79,-8.26,27.04,1.65,2.26,6.1,0.14,0.04,1.04,1000
20:28:30.513,0.81,-8.22,27.11,2.38,6.16,7.93,0.14,0.02,1.05,1000
20:28:30.513,0.84,-8.14,27.2,3.11,9.21,8.29,0.15,0.01,1.05,1000
20:28:30.513,0.87,-8.03,27.29,3.66,11.16,7.32,0.15,0.0,1.04,1000
